Abandoned,3
Able,2
Absolute,3
Adorable,4
Adventurous,4
Academic,4
Acceptable,4
Acclaimed,2
Accomplished,3
Accurate,3
Aching,2
Acidic,3
Acrobatic,4
Active,2
Actual,2
Adept,2
Admirable,4
Admired,2
Adolescent,4
Adorable,4
Adored,2
Advanced,2
Afraid,2
Affectionate,4
Aged,1
Aggravating,4
Aggressive,3
Agile,3
Agitated,3
Agonizing,4
Agreeable,3
Ajar,2
Alarmed,2
Alarming,3
Alert,2
Alienated,3
Alive,2
All,1
Altruistic,3
Amazing,3
Ambitious,3
Ample,2
Amused,2
Amusing,3
Anchored,2
Ancient,2
Angelic,3
Angry,2
Anguished,2
Animated,3
Annual,2
Another,3
Antique,2
Anxious,2
Any,2
Apprehensive,4
Appropriate,3
Apt,1
Arctic,2
Arid,2
Aromatic,4
Artistic,3
Ashamed,2
Assured,2
Astonishing,4
Athletic,3
Attached,2
Attentive,3
Attractive,3
Austere,2
Authentic,3
Authorized,3
Automatic,4
Avaricious,4
Average,3
Aware,2
Awesome,3
Awful,2
Awkward,2
Babyish,2
Bad,1
Back,1
Baggy,2
Bare,1
Barren,2
Basic,2
Beautiful,3
Belated,2
Beloved,2
Beneficial,4
Better,2
Best,1
Bewitched,2
Big,1
Big-Hearted,2
Biodegradable,5
Bite-Sized,3
Bitter,2
Black,1
Black-And-White,3
Bland,1
Blank,1
Blaring,2
Bleak,1
Blind,1
Blissful,2
Blond,1
Blue,0
Blushing,2
Bogus,2
Boiling,2
Bold,1
Bony,2
Boring,2
Bossy,2
Both,1
Bouncy,2
Bountiful,3
Bowed,1
Brave,1
Breakable,3
Brief,1
Bright,1
Brilliant,2
Brisk,1
Broken,2
Bronze,1
Brown,1
Bruised,1
Bubbly,2
Bulky,2
Bumpy,2
Buoyant,1
Burdensome,3
Burly,2
Bustling,2
Busy,2
Buttery,3
Buzzing,2
Calculating,4
Calm,1
Candid,2
Canine,2
Capital,3
Carefree,2
Careful,3
Careless,3
Caring,2
Cautious,2
